Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Dimmit County,2017,Fourth Quarter,69,1676,47.5,1481,14.8,Natural Resources and Mining,48127,TX
Donley County,2017,Fourth Quarter,20,85,-22,752,11.4,Natural Resources and Mining,48129,TX
Duval County,2017,Fourth Quarter,33,470,10.6,1095,12.5,Natural Resources and Mining,48131,TX
Eastland County,2017,Fourth Quarter,56,1132,77.4,1688,16.1,Natural Resources and Mining,48133,TX
Ector County,2017,Fourth Quarter,356,11046,36.7,1730,12.9,Natural Resources and Mining,48135,TX
Edwards County,2017,Fourth Quarter,21,44,10,530,-0.2,Natural Resources and Mining,48137,TX
Ellis County,2017,Fourth Quarter,47,202,10.4,1010,2.3,Natural Resources and Mining,48139,TX
El Paso County,2017,Fourth Quarter,96,972,-9,715,10.9,Natural Resources and Mining,48141,TX
Erath County,2017,Fourth Quarter,116,1147,4.2,772,14.7,Natural Resources and Mining,48143,TX
Falls County,2017,Fourth Quarter,23,171,-1.7,816,3.8,Natural Resources and Mining,48145,TX
Fannin County,2017,Fourth Quarter,28,195,34.5,794,7.3,Natural Resources and Mining,48147,TX
Fayette County,2017,Fourth Quarter,70,908,29,950,4.3,Natural Resources and Mining,48149,TX
Fisher County,2017,Fourth Quarter,40,175,-39.4,722,24.1,Natural Resources and Mining,48151,TX
Floyd County,2017,Fourth Quarter,114,556,-3.1,792,-0.5,Natural Resources and Mining,48153,TX
Foard County,2017,Fourth Quarter,12,25,-3.8,704,-12.4,Natural Resources and Mining,48155,TX
Fort Bend County,2017,Fourth Quarter,192,3637,10.3,2172,-3.1,Natural Resources and Mining,48157,TX
Franklin County,2017,Fourth Quarter,21,,,,,Natural Resources and Mining,48159,TX
Freestone County,2017,Fourth Quarter,42,701,0.9,1414,-6.3,Natural Resources and Mining,48161,TX
Frio County,2017,Fourth Quarter,85,1698,51.2,1230,1.7,Natural Resources and Mining,48163,TX
Gaines County,2017,Fourth Quarter,198,1968,-1.2,1310,2.1,Natural Resources and Mining,48165,TX
Galveston County,2017,Fourth Quarter,69,1030,22.3,1669,-13.9,Natural Resources and Mining,48167,TX
Garza County,2017,Fourth Quarter,55,357,2.9,981,5.7,Natural Resources and Mining,48169,TX
Gillespie County,2017,Fourth Quarter,41,135,1.5,907,-5.3,Natural Resources and Mining,48171,TX
Glasscock County,2017,Fourth Quarter,82,342,9.3,1042,22,Natural Resources and Mining,48173,TX
Goliad County,2017,Fourth Quarter,21,,,,,Natural Resources and Mining,48175,TX
Gonzales County,2017,Fourth Quarter,93,1071,1.4,823,4.7,Natural Resources and Mining,48177,TX
Gray County,2017,Fourth Quarter,96,778,-1.9,1406,6,Natural Resources and Mining,48179,TX
Grayson County,2017,Fourth Quarter,72,568,89.3,991,10,Natural Resources and Mining,48181,TX
Gregg County,2017,Fourth Quarter,194,3999,35.2,1616,8.8,Natural Resources and Mining,48183,TX
Grimes County,2017,Fourth Quarter,49,417,1.7,1001,10.9,Natural Resources and Mining,48185,TX
Guadalupe County,2017,Fourth Quarter,52,236,1.3,1279,48,Natural Resources and Mining,48187,TX
Hale County,2017,Fourth Quarter,185,1245,4,788,7.1,Natural Resources and Mining,48189,TX
Hall County,2017,Fourth Quarter,19,129,-25.4,792,9.7,Natural Resources and Mining,48191,TX
Hamilton County,2017,Fourth Quarter,18,107,2.9,610,0.5,Natural Resources and Mining,48193,TX
Hansford County,2017,Fourth Quarter,84,778,10.2,1477,19.1,Natural Resources and Mining,48195,TX
Hardeman County,2017,Fourth Quarter,12,93,-1.1,504,22.3,Natural Resources and Mining,48197,TX
Hardin County,2017,Fourth Quarter,42,441,14,1200,18.1,Natural Resources and Mining,48199,TX
Harris County,2017,Fourth Quarter,1646,67196,-7.4,3255,-4.7,Natural Resources and Mining,48201,TX
Harrison County,2017,Fourth Quarter,75,1641,7.5,1329,0.2,Natural Resources and Mining,48203,TX
Hartley County,2017,Fourth Quarter,59,870,21.2,844,4.3,Natural Resources and Mining,48205,TX
Haskell County,2017,Fourth Quarter,49,266,0.4,726,6.9,Natural Resources and Mining,48207,TX
Hays County,2017,Fourth Quarter,52,280,29.6,1163,14.9,Natural Resources and Mining,48209,TX
Hemphill County,2017,Fourth Quarter,54,534,34.8,1640,13.3,Natural Resources and Mining,48211,TX
Henderson County,2017,Fourth Quarter,63,289,10.7,908,4,Natural Resources and Mining,48213,TX
Hidalgo County,2017,Fourth Quarter,369,4562,1.1,966,9.6,Natural Resources and Mining,48215,TX
Hill County,2017,Fourth Quarter,61,283,-1.7,918,-8.5,Natural Resources and Mining,48217,TX
Hockley County,2017,Fourth Quarter,190,3074,10.7,1453,10.9,Natural Resources and Mining,48219,TX
Hood County,2017,Fourth Quarter,75,1496,9.7,1375,7.3,Natural Resources and Mining,48221,TX
Hopkins County,2017,Fourth Quarter,38,277,-2.5,934,-9.1,Natural Resources and Mining,48223,TX
Houston County,2017,Fourth Quarter,43,208,-17.1,1273,-63,Natural Resources and Mining,48225,TX
Howard County,2017,Fourth Quarter,136,1289,29.4,1402,16.1,Natural Resources and Mining,48227,TX
Hudspeth County,2017,Fourth Quarter,20,150,4.2,783,-1.9,Natural Resources and Mining,48229,TX
Hunt County,2017,Fourth Quarter,28,156,25.8,958,34,Natural Resources and Mining,48231,TX
Hutchinson County,2017,Fourth Quarter,68,1386,0.6,1882,-1.1,Natural Resources and Mining,48233,TX
Irion County,2017,Fourth Quarter,22,404,-47.8,1715,33.2,Natural Resources and Mining,48235,TX
Jack County,2017,Fourth Quarter,42,876,7.6,1680,23.7,Natural Resources and Mining,48237,TX
Jackson County,2017,Fourth Quarter,79,,,,,Natural Resources and Mining,48239,TX
Jasper County,2017,Fourth Quarter,34,186,20.8,955,0,Natural Resources and Mining,48241,TX
Jeff Davis County,2017,Fourth Quarter,11,210,-13.2,528,5.4,Natural Resources and Mining,48243,TX
Jefferson County,2017,Fourth Quarter,82,554,-27.2,1489,3.2,Natural Resources and Mining,48245,TX
Jim Hogg County,2017,Fourth Quarter,22,114,-7.3,1227,23.7,Natural Resources and Mining,48247,TX
Jim Wells County,2017,Fourth Quarter,107,3120,30.7,1817,16.5,Natural Resources and Mining,48249,TX
Johnson County,2017,Fourth Quarter,75,1768,101.4,1321,9.9,Natural Resources and Mining,48251,TX
Jones County,2017,Fourth Quarter,41,284,-17,867,17.5,Natural Resources and Mining,48253,TX
Karnes County,2017,Fourth Quarter,52,814,-7.3,1465,-23.9,Natural Resources and Mining,48255,TX
Kaufman County,2017,Fourth Quarter,28,92,2.2,743,-15.6,Natural Resources and Mining,48257,TX
Kendall County,2017,Fourth Quarter,51,458,81,2155,52.5,Natural Resources and Mining,48259,TX
Kenedy County,2017,Fourth Quarter,5,,,,,Natural Resources and Mining,48261,TX
Kent County,2017,Fourth Quarter,5,,,,,Natural Resources and Mining,48263,TX
Kerr County,2017,Fourth Quarter,46,163,-2.4,721,8.4,Natural Resources and Mining,48265,TX
Kimble County,2017,Fourth Quarter,13,,,,,Natural Resources and Mining,48267,TX
King County,2017,Fourth Quarter,5,,,,,Natural Resources and Mining,48269,TX
Kinney County,2017,Fourth Quarter,13,29,20.8,510,-11.1,Natural Resources and Mining,48271,TX
Kleberg County,2017,Fourth Quarter,26,520,7.9,874,6.2,Natural Resources and Mining,48273,TX
Knox County,2017,Fourth Quarter,38,205,-29.8,1053,-17.2,Natural Resources and Mining,48275,TX
Lamar County,2017,Fourth Quarter,23,231,6,879,12.3,Natural Resources and Mining,48277,TX
Lamb County,2017,Fourth Quarter,186,1159,-2.8,737,11,Natural Resources and Mining,48279,TX
Lampasas County,2017,Fourth Quarter,18,62,5.1,851,-3.7,Natural Resources and Mining,48281,TX
La Salle County,2017,Fourth Quarter,45,1329,1.4,1827,5.1,Natural Resources and Mining,48283,TX
Lavaca County,2017,Fourth Quarter,37,316,12.5,1086,21.6,Natural Resources and Mining,48285,TX
Lee County,2017,Fourth Quarter,45,688,20.1,918,8.1,Natural Resources and Mining,48287,TX
Leon County,2017,Fourth Quarter,39,507,-26.7,1277,-6.1,Natural Resources and Mining,48289,TX
Liberty County,2017,Fourth Quarter,74,741,-8.3,1264,6.8,Natural Resources and Mining,48291,TX
Limestone County,2017,Fourth Quarter,31,413,37.7,1578,-1.9,Natural Resources and Mining,48293,TX
Lipscomb County,2017,Fourth Quarter,26,216,11.9,982,20.2,Natural Resources and Mining,48295,TX
Live Oak County,2017,Fourth Quarter,49,717,37.1,1333,0.7,Natural Resources and Mining,48297,TX
Llano County,2017,Fourth Quarter,24,77,5.5,732,21.4,Natural Resources and Mining,48299,TX
Loving County,2017,Fourth Quarter,4,,,,,Natural Resources and Mining,48301,TX
Lubbock County,2017,Fourth Quarter,266,1765,5.1,1107,13.8,Natural Resources and Mining,48303,TX
Lynn County,2017,Fourth Quarter,93,562,2.7,855,16.3,Natural Resources and Mining,48305,TX
McCulloch County,2017,Fourth Quarter,37,489,9.6,1191,4.6,Natural Resources and Mining,48307,TX
McLennan County,2017,Fourth Quarter,68,311,4.7,758,6.9,Natural Resources and Mining,48309,TX
McMullen County,2017,Fourth Quarter,26,,,,,Natural Resources and Mining,48311,TX
Madison County,2017,Fourth Quarter,28,714,-15,800,20.3,Natural Resources and Mining,48313,TX
Marion County,2017,Fourth Quarter,5,11,10,739,20.2,Natural Resources and Mining,48315,TX
Martin County,2017,Fourth Quarter,74,,,,,Natural Resources and Mining,48317,TX
