Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Fayette County,2017,Fourth Quarter,41,884,6,701,-1.5,Manufacturing,48149,TX
Fisher County,2017,Fourth Quarter,2,,,,,Manufacturing,48151,TX
Floyd County,2017,Fourth Quarter,6,44,-2.2,773,22.5,Manufacturing,48153,TX
Foard County,2017,Fourth Quarter,1,,,,,Manufacturing,48155,TX
Fort Bend County,2017,Fourth Quarter,417,13232,2.7,1505,9,Manufacturing,48157,TX
Franklin County,2017,Fourth Quarter,4,,,,,Manufacturing,48159,TX
Freestone County,2017,Fourth Quarter,11,110,-25.2,1043,9.4,Manufacturing,48161,TX
Frio County,2017,Fourth Quarter,7,143,31.2,1123,62.3,Manufacturing,48163,TX
Gaines County,2017,Fourth Quarter,12,218,41.6,1177,2.8,Manufacturing,48165,TX
Galveston County,2017,Fourth Quarter,190,6138,3.5,2022,5.9,Manufacturing,48167,TX
Garza County,2017,Fourth Quarter,1,,,,,Manufacturing,48169,TX
Gillespie County,2017,Fourth Quarter,73,1130,6.9,708,4.9,Manufacturing,48171,TX
Glasscock County,2017,Fourth Quarter,2,,,,,Manufacturing,48173,TX
Goliad County,2017,Fourth Quarter,3,,,,,Manufacturing,48175,TX
Gonzales County,2017,Fourth Quarter,15,1089,-1.3,915,10.9,Manufacturing,48177,TX
Gray County,2017,Fourth Quarter,25,1115,17.7,1572,5.5,Manufacturing,48179,TX
Grayson County,2017,Fourth Quarter,128,5670,0.5,1183,3.6,Manufacturing,48181,TX
Gregg County,2017,Fourth Quarter,238,7736,7.9,1213,11.3,Manufacturing,48183,TX
Grimes County,2017,Fourth Quarter,35,1544,11.2,1238,5.5,Manufacturing,48185,TX
Guadalupe County,2017,Fourth Quarter,137,7743,7.1,1119,2.3,Manufacturing,48187,TX
Hale County,2017,Fourth Quarter,23,670,4.5,934,25.7,Manufacturing,48189,TX
Hall County,2017,Fourth Quarter,3,25,31.6,645,-14.2,Manufacturing,48191,TX
Hamilton County,2017,Fourth Quarter,12,208,22.4,831,5.6,Manufacturing,48193,TX
Hansford County,2017,Fourth Quarter,6,63,85.3,709,-29.7,Manufacturing,48195,TX
Hardeman County,2017,Fourth Quarter,4,,,,,Manufacturing,48197,TX
Hardin County,2017,Fourth Quarter,32,893,5.9,1241,6,Manufacturing,48199,TX
Harris County,2017,Fourth Quarter,4792,171126,2.8,1671,1,Manufacturing,48201,TX
Harrison County,2017,Fourth Quarter,79,5574,-0.9,1232,4.3,Manufacturing,48203,TX
Hartley County,2017,Fourth Quarter,2,,,,,Manufacturing,48205,TX
Haskell County,2017,Fourth Quarter,3,21,5,823,8.3,Manufacturing,48207,TX
Hays County,2017,Fourth Quarter,180,4529,4,1074,2.1,Manufacturing,48209,TX
Hemphill County,2017,Fourth Quarter,8,57,11.8,1316,0.2,Manufacturing,48211,TX
Henderson County,2017,Fourth Quarter,61,2248,-3,852,24,Manufacturing,48213,TX
Hidalgo County,2017,Fourth Quarter,304,7058,8.1,800,-2.6,Manufacturing,48215,TX
Hill County,2017,Fourth Quarter,39,1103,20.7,871,0.6,Manufacturing,48217,TX
Hockley County,2017,Fourth Quarter,16,252,13,870,3.8,Manufacturing,48219,TX
Hood County,2017,Fourth Quarter,51,647,-0.6,1025,6,Manufacturing,48221,TX
Hopkins County,2017,Fourth Quarter,39,1694,8.6,1017,-0.4,Manufacturing,48223,TX
Houston County,2017,Fourth Quarter,26,662,-9.4,1489,11.4,Manufacturing,48225,TX
Howard County,2017,Fourth Quarter,30,843,1.1,1956,26,Manufacturing,48227,TX
Hudspeth County,2017,Fourth Quarter,2,,,,,Manufacturing,48229,TX
Hunt County,2017,Fourth Quarter,77,7165,-2,1782,5.1,Manufacturing,48231,TX
Hutchinson County,2017,Fourth Quarter,28,972,-2.3,1812,2.9,Manufacturing,48233,TX
Irion County,2017,Fourth Quarter,1,,,,,Manufacturing,48235,TX
Jack County,2017,Fourth Quarter,7,52,-8.8,1209,-16.2,Manufacturing,48237,TX
Jackson County,2017,Fourth Quarter,13,,,,,Manufacturing,48239,TX
Jasper County,2017,Fourth Quarter,25,1303,3.2,1792,4.5,Manufacturing,48241,TX
Jeff Davis County,2017,Fourth Quarter,2,,,,,Manufacturing,48243,TX
Jefferson County,2017,Fourth Quarter,253,16287,2.5,2011,5.3,Manufacturing,48245,TX
Jim Hogg County,2017,Fourth Quarter,6,49,-5.8,724,4.8,Manufacturing,48247,TX
Jim Wells County,2017,Fourth Quarter,20,396,12.5,1190,25.5,Manufacturing,48249,TX
Johnson County,2017,Fourth Quarter,176,6336,1.3,1164,3,Manufacturing,48251,TX
Jones County,2017,Fourth Quarter,10,168,-26.6,726,1.7,Manufacturing,48253,TX
Karnes County,2017,Fourth Quarter,12,313,57.3,1364,1.2,Manufacturing,48255,TX
Kaufman County,2017,Fourth Quarter,127,4438,9.1,1154,8.1,Manufacturing,48257,TX
Kendall County,2017,Fourth Quarter,48,1032,6.9,835,-8.8,Manufacturing,48259,TX
Kerr County,2017,Fourth Quarter,47,1261,7.1,1079,5.7,Manufacturing,48265,TX
Kimble County,2017,Fourth Quarter,5,,,,,Manufacturing,48267,TX
Kinney County,2017,Fourth Quarter,1,,,,,Manufacturing,48271,TX
Kleberg County,2017,Fourth Quarter,20,305,16,1093,0.4,Manufacturing,48273,TX
Knox County,2017,Fourth Quarter,2,,,,,Manufacturing,48275,TX
Lamar County,2017,Fourth Quarter,60,5047,12,1145,-7.3,Manufacturing,48277,TX
Lamb County,2017,Fourth Quarter,7,66,8.2,669,-21.5,Manufacturing,48279,TX
Lampasas County,2017,Fourth Quarter,22,571,-4.8,641,6,Manufacturing,48281,TX
Lavaca County,2017,Fourth Quarter,29,1075,5.9,1606,36.3,Manufacturing,48285,TX
Lee County,2017,Fourth Quarter,17,417,-6.9,1131,17.6,Manufacturing,48287,TX
Leon County,2017,Fourth Quarter,19,811,29.1,1610,-6.3,Manufacturing,48289,TX
Liberty County,2017,Fourth Quarter,48,1199,34.9,1321,5.8,Manufacturing,48291,TX
Limestone County,2017,Fourth Quarter,7,542,24.9,716,-7.9,Manufacturing,48293,TX
Lipscomb County,2017,Fourth Quarter,3,,,,,Manufacturing,48295,TX
Live Oak County,2017,Fourth Quarter,6,344,,1543,,Manufacturing,48297,TX
Llano County,2017,Fourth Quarter,20,154,-1.9,1245,10.3,Manufacturing,48299,TX
Loving County,2017,Fourth Quarter,1,,,,,Manufacturing,48301,TX
Lubbock County,2017,Fourth Quarter,244,4696,-1.1,946,6.1,Manufacturing,48303,TX
Lynn County,2017,Fourth Quarter,4,30,,858,,Manufacturing,48305,TX
McCulloch County,2017,Fourth Quarter,9,202,39.3,958,3.1,Manufacturing,48307,TX
McLennan County,2017,Fourth Quarter,266,16613,1.9,1204,4.3,Manufacturing,48309,TX
McMullen County,2017,Fourth Quarter,1,,,,,Manufacturing,48311,TX
Madison County,2017,Fourth Quarter,12,249,57.6,892,20.1,Manufacturing,48313,TX
Marion County,2017,Fourth Quarter,8,316,1,1147,1.6,Manufacturing,48315,TX
Martin County,2017,Fourth Quarter,2,,,,,Manufacturing,48317,TX
Mason County,2017,Fourth Quarter,6,21,-34.4,576,-24.2,Manufacturing,48319,TX
Matagorda County,2017,Fourth Quarter,23,478,2.1,1445,5.3,Manufacturing,48321,TX
Maverick County,2017,Fourth Quarter,19,607,-22.2,790,18.8,Manufacturing,48323,TX
Medina County,2017,Fourth Quarter,23,101,-29.9,717,34,Manufacturing,48325,TX
Menard County,2017,Fourth Quarter,1,,,,,Manufacturing,48327,TX
Midland County,2017,Fourth Quarter,150,3586,19.7,1257,0.6,Manufacturing,48329,TX
Milam County,2017,Fourth Quarter,18,206,-10.8,1445,-2.4,Manufacturing,48331,TX
Mills County,2017,Fourth Quarter,7,106,3.9,680,12.4,Manufacturing,48333,TX
Mitchell County,2017,Fourth Quarter,3,,,,,Manufacturing,48335,TX
Montague County,2017,Fourth Quarter,19,410,5.1,847,-10.2,Manufacturing,48337,TX
Montgomery County,2017,Fourth Quarter,489,10421,7.9,1424,2.7,Manufacturing,48339,TX
Moore County,2017,Fourth Quarter,17,,,,,Manufacturing,48341,TX
Morris County,2017,Fourth Quarter,16,1361,11,1324,20.1,Manufacturing,48343,TX
