Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Foard County,2017,Third Quarter,1,,,,,Manufacturing,48155,TX
Fort Bend County,2017,Third Quarter,421,13067,0.9,1435,3.2,Manufacturing,48157,TX
Franklin County,2017,Third Quarter,4,,,,,Manufacturing,48159,TX
Freestone County,2017,Third Quarter,10,121,-15.4,884,-0.5,Manufacturing,48161,TX
Frio County,2017,Third Quarter,7,146,39,1223,3.2,Manufacturing,48163,TX
Gaines County,2017,Third Quarter,11,226,45.8,936,3.2,Manufacturing,48165,TX
Galveston County,2017,Third Quarter,193,5993,-0.4,1842,-1.1,Manufacturing,48167,TX
Garza County,2017,Third Quarter,1,,,,,Manufacturing,48169,TX
Gillespie County,2017,Third Quarter,71,1004,6.4,671,-8.1,Manufacturing,48171,TX
Glasscock County,2017,Third Quarter,2,,,,,Manufacturing,48173,TX
Goliad County,2017,Third Quarter,3,,,,,Manufacturing,48175,TX
Gonzales County,2017,Third Quarter,15,1074,-3.8,892,5.3,Manufacturing,48177,TX
Gray County,2017,Third Quarter,25,1106,17.5,1581,0.5,Manufacturing,48179,TX
Grayson County,2017,Third Quarter,124,5614,1.3,1101,-3.6,Manufacturing,48181,TX
Gregg County,2017,Third Quarter,238,7697,9.4,1088,0.5,Manufacturing,48183,TX
Grimes County,2017,Third Quarter,34,1456,4.2,1098,2.1,Manufacturing,48185,TX
Guadalupe County,2017,Third Quarter,133,7606,6.3,1060,0.6,Manufacturing,48187,TX
Hale County,2017,Third Quarter,23,688,2.1,747,1.8,Manufacturing,48189,TX
Hall County,2017,Third Quarter,3,34,36,643,5.8,Manufacturing,48191,TX
Hamilton County,2017,Third Quarter,12,190,10.5,805,5.2,Manufacturing,48193,TX
Hansford County,2017,Third Quarter,6,55,52.8,663,-17.3,Manufacturing,48195,TX
Hardeman County,2017,Third Quarter,4,,,,,Manufacturing,48197,TX
Hardin County,2017,Third Quarter,28,859,2.1,1092,-2.6,Manufacturing,48199,TX
Harris County,2017,Third Quarter,4798,169878,1.3,1599,1.3,Manufacturing,48201,TX
Harrison County,2017,Third Quarter,77,5555,-1,1123,-3.5,Manufacturing,48203,TX
Hartley County,2017,Third Quarter,2,,,,,Manufacturing,48205,TX
Haskell County,2017,Third Quarter,3,22,0,685,4.9,Manufacturing,48207,TX
Hays County,2017,Third Quarter,178,4439,0.2,1012,-6,Manufacturing,48209,TX
Hemphill County,2017,Third Quarter,8,55,7.8,1127,-15.4,Manufacturing,48211,TX
Henderson County,2017,Third Quarter,62,2210,-2.6,792,9.5,Manufacturing,48213,TX
Hidalgo County,2017,Third Quarter,305,6666,8.9,786,-1.4,Manufacturing,48215,TX
Hill County,2017,Third Quarter,39,1076,21.3,836,-4.2,Manufacturing,48217,TX
Hockley County,2017,Third Quarter,16,253,16.6,822,0.9,Manufacturing,48219,TX
Hood County,2017,Third Quarter,51,595,-9.7,974,4.3,Manufacturing,48221,TX
Hopkins County,2017,Third Quarter,39,1681,10.7,966,-3.6,Manufacturing,48223,TX
Houston County,2017,Third Quarter,25,677,-8.8,1336,10.5,Manufacturing,48225,TX
Howard County,2017,Third Quarter,30,816,-10,1598,13,Manufacturing,48227,TX
Hudspeth County,2017,Third Quarter,2,,,,,Manufacturing,48229,TX
Hunt County,2017,Third Quarter,78,7060,-3.4,1949,3.3,Manufacturing,48231,TX
Hutchinson County,2017,Third Quarter,28,966,-2.4,1785,-1.3,Manufacturing,48233,TX
Irion County,2017,Third Quarter,1,,,,,Manufacturing,48235,TX
Jack County,2017,Third Quarter,7,48,-22.6,749,-34.8,Manufacturing,48237,TX
Jackson County,2017,Third Quarter,12,,,,,Manufacturing,48239,TX
Jasper County,2017,Third Quarter,25,1283,-3.1,1534,7.9,Manufacturing,48241,TX
Jeff Davis County,2017,Third Quarter,2,,,,,Manufacturing,48243,TX
Jefferson County,2017,Third Quarter,259,16182,1.2,1926,1.7,Manufacturing,48245,TX
Jim Hogg County,2017,Third Quarter,6,48,2.1,773,3.8,Manufacturing,48247,TX
Jim Wells County,2017,Third Quarter,19,378,5.9,1090,20.6,Manufacturing,48249,TX
Johnson County,2017,Third Quarter,172,6356,2.8,1149,0.8,Manufacturing,48251,TX
Jones County,2017,Third Quarter,10,196,-18.7,747,0.9,Manufacturing,48253,TX
Karnes County,2017,Third Quarter,12,297,42.1,1410,-0.1,Manufacturing,48255,TX
Kaufman County,2017,Third Quarter,127,4449,8.8,952,-3.3,Manufacturing,48257,TX
Kendall County,2017,Third Quarter,44,858,0.6,916,2.5,Manufacturing,48259,TX
Kerr County,2017,Third Quarter,48,1006,9.5,1144,-14.8,Manufacturing,48265,TX
Kimble County,2017,Third Quarter,5,52,10.6,863,-9.5,Manufacturing,48267,TX
Kinney County,2017,Third Quarter,1,,,,,Manufacturing,48271,TX
Kleberg County,2017,Third Quarter,21,276,4.2,1000,-6.3,Manufacturing,48273,TX
Knox County,2017,Third Quarter,2,,,,,Manufacturing,48275,TX
Lamar County,2017,Third Quarter,60,4832,2.8,1095,-15.7,Manufacturing,48277,TX
Lamb County,2017,Third Quarter,7,57,0,740,10.4,Manufacturing,48279,TX
Lampasas County,2017,Third Quarter,22,576,1.8,591,-11.3,Manufacturing,48281,TX
Lavaca County,2017,Third Quarter,29,1071,5.6,820,1.7,Manufacturing,48285,TX
Lee County,2017,Third Quarter,18,412,-4.4,969,0.5,Manufacturing,48287,TX
Leon County,2017,Third Quarter,19,758,21.5,1597,2.8,Manufacturing,48289,TX
Liberty County,2017,Third Quarter,48,1188,31.7,1174,5.5,Manufacturing,48291,TX
Limestone County,2017,Third Quarter,7,517,27.7,699,-17.5,Manufacturing,48293,TX
Lipscomb County,2017,Third Quarter,3,,,,,Manufacturing,48295,TX
Live Oak County,2017,Third Quarter,6,346,,1202,,Manufacturing,48297,TX
Llano County,2017,Third Quarter,20,157,-4.3,882,-3.3,Manufacturing,48299,TX
Loving County,2017,Third Quarter,1,,,,,Manufacturing,48301,TX
Lubbock County,2017,Third Quarter,246,4710,-0.5,859,-3.3,Manufacturing,48303,TX
Lynn County,2017,Third Quarter,4,36,33.3,677,-20.9,Manufacturing,48305,TX
McCulloch County,2017,Third Quarter,9,192,39.1,823,-1,Manufacturing,48307,TX
McLennan County,2017,Third Quarter,260,16381,0.8,1219,0.7,Manufacturing,48309,TX
McMullen County,2017,Third Quarter,1,,,,,Manufacturing,48311,TX
Madison County,2017,Third Quarter,12,228,51,896,18.7,Manufacturing,48313,TX
Marion County,2017,Third Quarter,8,321,4.9,963,-1.5,Manufacturing,48315,TX
Martin County,2017,Third Quarter,2,,,,,Manufacturing,48317,TX
Mason County,2017,Third Quarter,6,17,-39.3,861,18.6,Manufacturing,48319,TX
Matagorda County,2017,Third Quarter,22,474,6.3,1407,-8.6,Manufacturing,48321,TX
Maverick County,2017,Third Quarter,19,603,-21,666,4.1,Manufacturing,48323,TX
Medina County,2017,Third Quarter,22,99,-30.3,570,13.1,Manufacturing,48325,TX
Menard County,2017,Third Quarter,1,,,,,Manufacturing,48327,TX
Midland County,2017,Third Quarter,146,3213,14.5,1252,3,Manufacturing,48329,TX
Milam County,2017,Third Quarter,18,207,-27.4,1394,0.4,Manufacturing,48331,TX
Mills County,2017,Third Quarter,7,93,8.1,528,-11.3,Manufacturing,48333,TX
Mitchell County,2017,Third Quarter,3,,,,,Manufacturing,48335,TX
Montague County,2017,Third Quarter,20,416,4.3,657,-2.7,Manufacturing,48337,TX
Montgomery County,2017,Third Quarter,485,10223,4.9,1319,2.8,Manufacturing,48339,TX
Moore County,2017,Third Quarter,17,,,,,Manufacturing,48341,TX
Morris County,2017,Third Quarter,16,1373,-2.8,1250,30.9,Manufacturing,48343,TX
Motley County,2017,Third Quarter,2,,,,,Manufacturing,48345,TX
Nacogdoches County,2017,Third Quarter,66,2899,1.3,788,-1.3,Manufacturing,48347,TX
Navarro County,2017,Third Quarter,50,3089,-2.7,852,6.6,Manufacturing,48349,TX
Newton County,2017,Third Quarter,3,,,,,Manufacturing,48351,TX
Nolan County,2017,Third Quarter,8,817,2.4,1064,-3.5,Manufacturing,48353,TX
Nueces County,2017,Third Quarter,220,7290,-1.6,1522,1.3,Manufacturing,48355,TX
Ochiltree County,2017,Third Quarter,9,27,-34.1,1098,36.1,Manufacturing,48357,TX
Oldham County,2017,Third Quarter,2,,,,,Manufacturing,48359,TX
Orange County,2017,Third Quarter,76,4506,2,1773,5,Manufacturing,48361,TX
Palo Pinto County,2017,Third Quarter,47,1654,5.4,1222,-1.3,Manufacturing,48363,TX
Panola County,2017,Third Quarter,19,899,-0.6,793,2.1,Manufacturing,48365,TX
Parker County,2017,Third Quarter,151,2699,5.4,1176,10.9,Manufacturing,48367,TX
Parmer County,2017,Third Quarter,9,,,,,Manufacturing,48369,TX
Pecos County,2017,Third Quarter,7,91,-52.8,1026,-27.9,Manufacturing,48371,TX
Polk County,2017,Third Quarter,24,1183,-1,1066,2.1,Manufacturing,48373,TX
Potter County,2017,Third Quarter,152,8595,2.9,872,1.6,Manufacturing,48375,TX
Presidio County,2017,Third Quarter,4,21,,595,,Manufacturing,48377,TX
Rains County,2017,Third Quarter,11,94,2.2,755,1.5,Manufacturing,48379,TX
Randall County,2017,Third Quarter,65,1419,8.2,1067,-2.3,Manufacturing,48381,TX
Real County,2017,Third Quarter,5,27,3.8,768,6.7,Manufacturing,48385,TX
Red River County,2017,Third Quarter,15,524,11.5,604,3.2,Manufacturing,48387,TX
Reeves County,2017,Third Quarter,7,,,,,Manufacturing,48389,TX
Refugio County,2017,Third Quarter,1,,,,,Manufacturing,48391,TX
Robertson County,2017,Third Quarter,12,105,-6.3,922,9.1,Manufacturing,48395,TX
Rockwall County,2017,Third Quarter,79,1895,9.9,1018,1.1,Manufacturing,48397,TX
Runnels County,2017,Third Quarter,13,481,-2.2,790,5.8,Manufacturing,48399,TX
Rusk County,2017,Third Quarter,42,1506,-1.2,823,4.3,Manufacturing,48401,TX
Sabine County,2017,Third Quarter,6,347,4.2,1182,-0.6,Manufacturing,48403,TX
San Augustine County,2017,Third Quarter,3,,,,,Manufacturing,48405,TX
San Jacinto County,2017,Third Quarter,10,67,-42.2,867,0.9,Manufacturing,48407,TX
San Patricio County,2017,Third Quarter,40,772,-28.3,1793,2.2,Manufacturing,48409,TX
San Saba County,2017,Third Quarter,11,55,44.7,441,4.8,Manufacturing,48411,TX
Schleicher County,2017,Third Quarter,2,,,,,Manufacturing,48413,TX
Scurry County,2017,Third Quarter,12,127,-1.6,1282,-9.3,Manufacturing,48415,TX
Shackelford County,2017,Third Quarter,6,123,0.8,962,37.4,Manufacturing,48417,TX
Shelby County,2017,Third Quarter,21,2137,0.6,705,-3.4,Manufacturing,48419,TX
