Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Freestone County,2017,Third Quarter,30,184,-1.1,807,1,Construction,48161,TX
Frio County,2017,Third Quarter,29,458,76.2,1268,-12.1,Construction,48163,TX
Gaines County,2017,Third Quarter,70,517,9.1,1108,18.2,Construction,48165,TX
Galveston County,2017,Third Quarter,476,5764,-13.6,1175,-11,Construction,48167,TX
Garza County,2017,Third Quarter,13,,,,,Construction,48169,TX
Gillespie County,2017,Third Quarter,134,973,-2.1,868,0.1,Construction,48171,TX
Glasscock County,2017,Third Quarter,4,,,,,Construction,48173,TX
Goliad County,2017,Third Quarter,12,132,94.1,1221,5.9,Construction,48175,TX
Gonzales County,2017,Third Quarter,32,201,11.7,838,5.9,Construction,48177,TX
Gray County,2017,Third Quarter,30,281,1.1,945,-4.8,Construction,48179,TX
Grayson County,2017,Third Quarter,261,2653,-5.2,1037,-7.2,Construction,48181,TX
Gregg County,2017,Third Quarter,273,7642,-14.2,936,-5.8,Construction,48183,TX
Grimes County,2017,Third Quarter,50,398,8.2,917,-5.7,Construction,48185,TX
Guadalupe County,2017,Third Quarter,245,2530,8.1,969,2.3,Construction,48187,TX
Hale County,2017,Third Quarter,51,496,15.9,1038,17.3,Construction,48189,TX
Hall County,2017,Third Quarter,6,15,36.4,601,18.3,Construction,48191,TX
Hamilton County,2017,Third Quarter,28,129,-15.7,931,-8.1,Construction,48193,TX
Hansford County,2017,Third Quarter,20,78,-6,725,3.1,Construction,48195,TX
Hardeman County,2017,Third Quarter,7,,,,,Construction,48197,TX
Hardin County,2017,Third Quarter,104,1241,6,1050,0.7,Construction,48199,TX
Harris County,2017,Third Quarter,7415,155959,-3,1287,-5.1,Construction,48201,TX
Harrison County,2017,Third Quarter,134,1102,-9.3,1001,-10,Construction,48203,TX
Hartley County,2017,Third Quarter,7,,,,,Construction,48205,TX
Haskell County,2017,Third Quarter,14,72,14.3,636,-19.4,Construction,48207,TX
Hays County,2017,Third Quarter,504,5170,1,972,-2.9,Construction,48209,TX
Hemphill County,2017,Third Quarter,18,534,86.7,753,-19.4,Construction,48211,TX
Henderson County,2017,Third Quarter,151,936,17.1,785,-3.1,Construction,48213,TX
Hidalgo County,2017,Third Quarter,679,7082,7.2,702,1.4,Construction,48215,TX
Hill County,2017,Third Quarter,60,1107,-4.1,1034,-4.8,Construction,48217,TX
Hockley County,2017,Third Quarter,47,473,3.7,939,-3.6,Construction,48219,TX
Hood County,2017,Third Quarter,162,1077,10.5,1002,5.7,Construction,48221,TX
Hopkins County,2017,Third Quarter,68,572,0.7,782,8,Construction,48223,TX
Houston County,2017,Third Quarter,67,418,38,743,-18.4,Construction,48225,TX
Howard County,2017,Third Quarter,60,547,24.3,1200,2.1,Construction,48227,TX
Hudspeth County,2017,Third Quarter,2,,,,,Construction,48229,TX
Hunt County,2017,Third Quarter,144,888,4,830,-8.5,Construction,48231,TX
Hutchinson County,2017,Third Quarter,41,885,-35.3,1237,-23.3,Construction,48233,TX
Irion County,2017,Third Quarter,7,,,,,Construction,48235,TX
Jack County,2017,Third Quarter,26,559,3.7,789,-0.6,Construction,48237,TX
Jackson County,2017,Third Quarter,40,839,15.4,978,0.5,Construction,48239,TX
Jasper County,2017,Third Quarter,50,925,1.3,1035,-0.4,Construction,48241,TX
Jeff Davis County,2017,Third Quarter,4,,,,,Construction,48243,TX
Jefferson County,2017,Third Quarter,438,13972,4.1,1377,-3.9,Construction,48245,TX
Jim Hogg County,2017,Third Quarter,5,19,0,512,-10.6,Construction,48247,TX
Jim Wells County,2017,Third Quarter,55,325,-30,814,-10.1,Construction,48249,TX
Johnson County,2017,Third Quarter,402,4102,18,991,5.1,Construction,48251,TX
Jones County,2017,Third Quarter,29,181,3.4,684,9.3,Construction,48253,TX
Karnes County,2017,Third Quarter,30,135,33.7,950,21,Construction,48255,TX
Kaufman County,2017,Third Quarter,280,2814,10.1,1043,1.3,Construction,48257,TX
Kendall County,2017,Third Quarter,205,1865,-0.4,1180,4.8,Construction,48259,TX
Kent County,2017,Third Quarter,1,,,,,Construction,48263,TX
Kerr County,2017,Third Quarter,177,1455,13.1,891,1,Construction,48265,TX
Kimble County,2017,Third Quarter,19,84,-26.3,749,8.7,Construction,48267,TX
King County,2017,Third Quarter,1,,,,,Construction,48269,TX
Kinney County,2017,Third Quarter,2,,,,,Construction,48271,TX
Kleberg County,2017,Third Quarter,34,380,-0.3,767,-2.3,Construction,48273,TX
Knox County,2017,Third Quarter,8,,,,,Construction,48275,TX
Lamar County,2017,Third Quarter,122,1131,-0.5,965,2.3,Construction,48277,TX
Lamb County,2017,Third Quarter,21,167,67,958,27.1,Construction,48279,TX
Lampasas County,2017,Third Quarter,82,446,-0.7,648,-4.4,Construction,48281,TX
La Salle County,2017,Third Quarter,8,168,40,1501,12.5,Construction,48283,TX
Lavaca County,2017,Third Quarter,49,217,-13.9,690,-18.4,Construction,48285,TX
Lee County,2017,Third Quarter,52,2549,30.3,1446,0.8,Construction,48287,TX
Leon County,2017,Third Quarter,40,618,-23.2,1070,1.2,Construction,48289,TX
Liberty County,2017,Third Quarter,115,1443,46.2,1108,5.2,Construction,48291,TX
Limestone County,2017,Third Quarter,23,136,-2.9,838,-5.9,Construction,48293,TX
Lipscomb County,2017,Third Quarter,11,,,,,Construction,48295,TX
Live Oak County,2017,Third Quarter,27,215,,1157,,Construction,48297,TX
Llano County,2017,Third Quarter,81,348,0.3,731,-2.8,Construction,48299,TX
Lubbock County,2017,Third Quarter,764,6938,4,906,2,Construction,48303,TX
Lynn County,2017,Third Quarter,7,31,-6.1,1446,13.7,Construction,48305,TX
McCulloch County,2017,Third Quarter,24,85,-4.5,595,16.2,Construction,48307,TX
McLennan County,2017,Third Quarter,486,6877,-0.8,908,-0.7,Construction,48309,TX
Madison County,2017,Third Quarter,21,396,3.9,1091,-6.9,Construction,48313,TX
Marion County,2017,Third Quarter,3,10,,619,,Construction,48315,TX
Martin County,2017,Third Quarter,13,361,4,1219,-1.7,Construction,48317,TX
Mason County,2017,Third Quarter,11,62,129.6,795,30.5,Construction,48319,TX
Matagorda County,2017,Third Quarter,52,392,-15.2,1066,-30.7,Construction,48321,TX
Maverick County,2017,Third Quarter,47,256,0.4,556,-5.8,Construction,48323,TX
Medina County,2017,Third Quarter,87,707,-1.3,800,-0.9,Construction,48325,TX
Menard County,2017,Third Quarter,5,,,,,Construction,48327,TX
Midland County,2017,Third Quarter,411,5005,21.1,1188,2.8,Construction,48329,TX
Milam County,2017,Third Quarter,50,692,-8.6,1151,-5.7,Construction,48331,TX
Mills County,2017,Third Quarter,12,46,0,613,7.9,Construction,48333,TX
Mitchell County,2017,Third Quarter,10,,,,,Construction,48335,TX
Montague County,2017,Third Quarter,46,182,-10.3,756,-10.3,Construction,48337,TX
Montgomery County,2017,Third Quarter,1119,14018,10,1135,-14.5,Construction,48339,TX
Moore County,2017,Third Quarter,43,,,,,Construction,48341,TX
Morris County,2017,Third Quarter,16,72,0,813,1.1,Construction,48343,TX
Motley County,2017,Third Quarter,4,,,,,Construction,48345,TX
Nacogdoches County,2017,Third Quarter,86,852,-23,934,-9.7,Construction,48347,TX
Navarro County,2017,Third Quarter,74,914,11.1,1024,3.4,Construction,48349,TX
Newton County,2017,Third Quarter,6,,,,,Construction,48351,TX
Nolan County,2017,Third Quarter,28,270,-5.6,1151,5.7,Construction,48353,TX
Nueces County,2017,Third Quarter,586,16165,-7.3,1179,-4.1,Construction,48355,TX
Ochiltree County,2017,Third Quarter,30,392,11,1104,6.5,Construction,48357,TX
Oldham County,2017,Third Quarter,4,,,,,Construction,48359,TX
Orange County,2017,Third Quarter,119,2319,-9,1242,-9,Construction,48361,TX
