Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Floyd County,2017,Fourth Quarter,13,62,59,1063,39,Construction,48153,TX
Foard County,2017,Fourth Quarter,5,,,,,Construction,48155,TX
Fort Bend County,2017,Fourth Quarter,874,11396,4.2,1971,0.1,Construction,48157,TX
Franklin County,2017,Fourth Quarter,21,121,9,720,1,Construction,48159,TX
Freestone County,2017,Fourth Quarter,29,181,24.8,823,-26.3,Construction,48161,TX
Frio County,2017,Fourth Quarter,30,344,19,1358,8.8,Construction,48163,TX
Gaines County,2017,Fourth Quarter,70,506,3.3,1139,21.8,Construction,48165,TX
Galveston County,2017,Fourth Quarter,499,5971,-14,1359,-6.2,Construction,48167,TX
Garza County,2017,Fourth Quarter,13,,,,,Construction,48169,TX
Gillespie County,2017,Fourth Quarter,138,991,3.9,993,8.1,Construction,48171,TX
Glasscock County,2017,Fourth Quarter,4,,,,,Construction,48173,TX
Goliad County,2017,Fourth Quarter,13,,,,,Construction,48175,TX
Gonzales County,2017,Fourth Quarter,32,191,-4.5,864,-8.4,Construction,48177,TX
Gray County,2017,Fourth Quarter,31,345,31.2,998,6.9,Construction,48179,TX
Grayson County,2017,Fourth Quarter,267,2658,-6.3,1200,2.1,Construction,48181,TX
Gregg County,2017,Fourth Quarter,268,7892,-2.7,1022,0.4,Construction,48183,TX
Grimes County,2017,Fourth Quarter,54,414,11.3,979,8.5,Construction,48185,TX
Guadalupe County,2017,Fourth Quarter,252,2600,13.9,1015,1,Construction,48187,TX
Hale County,2017,Fourth Quarter,51,689,62.9,980,-1.6,Construction,48189,TX
Hall County,2017,Fourth Quarter,6,21,90.9,717,32,Construction,48191,TX
Hamilton County,2017,Fourth Quarter,28,119,-16.8,1146,16.3,Construction,48193,TX
Hansford County,2017,Fourth Quarter,20,78,1.3,758,-2.3,Construction,48195,TX
Hardeman County,2017,Fourth Quarter,7,,,,,Construction,48197,TX
Hardin County,2017,Fourth Quarter,106,1285,11.1,1269,-11.3,Construction,48199,TX
Harris County,2017,Fourth Quarter,7507,156800,0.5,1482,0.4,Construction,48201,TX
Harrison County,2017,Fourth Quarter,136,1132,1.3,1111,-8.9,Construction,48203,TX
Hartley County,2017,Fourth Quarter,7,,,,,Construction,48205,TX
Haskell County,2017,Fourth Quarter,13,54,-1.8,921,2.8,Construction,48207,TX
Hays County,2017,Fourth Quarter,515,5080,1.2,1122,2.9,Construction,48209,TX
Hemphill County,2017,Fourth Quarter,18,537,67.8,981,-1,Construction,48211,TX
Henderson County,2017,Fourth Quarter,154,908,16,891,10.8,Construction,48213,TX
Hidalgo County,2017,Fourth Quarter,681,7078,5.1,766,7.7,Construction,48215,TX
Hill County,2017,Fourth Quarter,62,976,-10,1137,9.7,Construction,48217,TX
Hockley County,2017,Fourth Quarter,46,457,-1.5,1042,13.4,Construction,48219,TX
Hood County,2017,Fourth Quarter,162,1062,11,1042,7,Construction,48221,TX
Hopkins County,2017,Fourth Quarter,71,533,0.9,914,6.8,Construction,48223,TX
Houston County,2017,Fourth Quarter,68,382,11.4,875,-19.7,Construction,48225,TX
Howard County,2017,Fourth Quarter,61,596,38.3,1179,-0.5,Construction,48227,TX
Hudspeth County,2017,Fourth Quarter,2,,,,,Construction,48229,TX
Hunt County,2017,Fourth Quarter,145,987,14.8,1145,15,Construction,48231,TX
Hutchinson County,2017,Fourth Quarter,41,904,-36.2,1316,-24.9,Construction,48233,TX
Irion County,2017,Fourth Quarter,6,,,,,Construction,48235,TX
Jack County,2017,Fourth Quarter,28,653,18.9,803,5.8,Construction,48237,TX
Jackson County,2017,Fourth Quarter,39,852,8.7,1114,3,Construction,48239,TX
Jasper County,2017,Fourth Quarter,50,974,5.8,1126,14.9,Construction,48241,TX
Jeff Davis County,2017,Fourth Quarter,3,,,,,Construction,48243,TX
Jefferson County,2017,Fourth Quarter,447,14479,19.4,1501,3.7,Construction,48245,TX
Jim Hogg County,2017,Fourth Quarter,5,18,0,500,-17.5,Construction,48247,TX
Jim Wells County,2017,Fourth Quarter,53,395,-8.1,949,1.8,Construction,48249,TX
Johnson County,2017,Fourth Quarter,394,4307,24.5,1092,12.2,Construction,48251,TX
Jones County,2017,Fourth Quarter,29,184,2.2,753,3.4,Construction,48253,TX
Karnes County,2017,Fourth Quarter,31,131,22.4,995,26.9,Construction,48255,TX
Kaufman County,2017,Fourth Quarter,288,2700,5.6,1206,5.3,Construction,48257,TX
Kendall County,2017,Fourth Quarter,205,1836,8.6,1197,3.9,Construction,48259,TX
Kent County,2017,Fourth Quarter,1,,,,,Construction,48263,TX
Kerr County,2017,Fourth Quarter,172,1408,11.1,922,0.9,Construction,48265,TX
Kimble County,2017,Fourth Quarter,19,90,-27.4,807,-9.6,Construction,48267,TX
King County,2017,Fourth Quarter,1,,,,,Construction,48269,TX
Kinney County,2017,Fourth Quarter,2,,,,,Construction,48271,TX
Kleberg County,2017,Fourth Quarter,34,362,-6.5,777,7.9,Construction,48273,TX
Knox County,2017,Fourth Quarter,8,,,,,Construction,48275,TX
Lamar County,2017,Fourth Quarter,124,1136,1.3,1125,2.1,Construction,48277,TX
Lamb County,2017,Fourth Quarter,18,175,71.6,1175,30.6,Construction,48279,TX
Lampasas County,2017,Fourth Quarter,83,468,-2.5,709,-2.5,Construction,48281,TX
La Salle County,2017,Fourth Quarter,7,139,43.3,1283,11.3,Construction,48283,TX
Lavaca County,2017,Fourth Quarter,49,222,-11.9,940,32.2,Construction,48285,TX
Lee County,2017,Fourth Quarter,51,1907,-4.5,1396,-1.3,Construction,48287,TX
Leon County,2017,Fourth Quarter,41,611,-21.5,1174,20,Construction,48289,TX
Liberty County,2017,Fourth Quarter,118,1550,44.1,1393,8.9,Construction,48291,TX
Limestone County,2017,Fourth Quarter,23,122,-18.7,1006,13.7,Construction,48293,TX
Lipscomb County,2017,Fourth Quarter,11,,,,,Construction,48295,TX
Live Oak County,2017,Fourth Quarter,26,255,,1168,,Construction,48297,TX
Llano County,2017,Fourth Quarter,80,350,-0.8,776,2.1,Construction,48299,TX
Loving County,2017,Fourth Quarter,1,,,,,Construction,48301,TX
Lubbock County,2017,Fourth Quarter,767,7062,8.2,1048,1.1,Construction,48303,TX
Lynn County,2017,Fourth Quarter,6,37,,1243,,Construction,48305,TX
McCulloch County,2017,Fourth Quarter,24,79,6.8,748,56.2,Construction,48307,TX
McLennan County,2017,Fourth Quarter,486,6940,3.5,996,4.6,Construction,48309,TX
Madison County,2017,Fourth Quarter,21,368,-14,1242,15.6,Construction,48313,TX
Marion County,2017,Fourth Quarter,3,12,0,610,23,Construction,48315,TX
Martin County,2017,Fourth Quarter,12,465,,1310,,Construction,48317,TX
Mason County,2017,Fourth Quarter,11,62,158.3,776,-5.5,Construction,48319,TX
Matagorda County,2017,Fourth Quarter,49,460,-9.3,1080,-29.6,Construction,48321,TX
Maverick County,2017,Fourth Quarter,45,243,-3.6,646,6.1,Construction,48323,TX
Medina County,2017,Fourth Quarter,84,724,1.5,884,-0.3,Construction,48325,TX
Menard County,2017,Fourth Quarter,4,,,,,Construction,48327,TX
Midland County,2017,Fourth Quarter,419,5226,22,1347,10.8,Construction,48329,TX
Milam County,2017,Fourth Quarter,50,720,-1.1,1169,-10,Construction,48331,TX
Mills County,2017,Fourth Quarter,12,48,-2,578,0.9,Construction,48333,TX
Mitchell County,2017,Fourth Quarter,10,,,,,Construction,48335,TX
Montague County,2017,Fourth Quarter,46,176,-10.7,1080,20.8,Construction,48337,TX
Montgomery County,2017,Fourth Quarter,1129,14699,17.5,1319,-7.7,Construction,48339,TX
Moore County,2017,Fourth Quarter,43,,,,,Construction,48341,TX
Morris County,2017,Fourth Quarter,15,78,2.6,921,3.8,Construction,48343,TX
Motley County,2017,Fourth Quarter,3,,,,,Construction,48345,TX
Nacogdoches County,2017,Fourth Quarter,87,856,-27.2,1095,-6.3,Construction,48347,TX
Navarro County,2017,Fourth Quarter,77,842,1.6,1104,9.2,Construction,48349,TX
Newton County,2017,Fourth Quarter,7,,,,,Construction,48351,TX
Nolan County,2017,Fourth Quarter,28,275,3.8,1199,8.7,Construction,48353,TX
Nueces County,2017,Fourth Quarter,594,16606,-1.7,1298,-0.7,Construction,48355,TX
Ochiltree County,2017,Fourth Quarter,31,441,75,1426,-15.3,Construction,48357,TX
Oldham County,2017,Fourth Quarter,4,,,,,Construction,48359,TX
Orange County,2017,Fourth Quarter,125,2294,-9.5,1238,-6.5,Construction,48361,TX
Palo Pinto County,2017,Fourth Quarter,69,393,9.5,790,9.4,Construction,48363,TX
Panola County,2017,Fourth Quarter,52,1900,25.5,1141,-4.4,Construction,48365,TX
Parker County,2017,Fourth Quarter,371,2541,6.2,1236,16.3,Construction,48367,TX
Parmer County,2017,Fourth Quarter,25,,,,,Construction,48369,TX
Pecos County,2017,Fourth Quarter,33,332,24.3,1128,12,Construction,48371,TX
Polk County,2017,Fourth Quarter,86,503,19.5,1047,-1.1,Construction,48373,TX
Potter County,2017,Fourth Quarter,356,3861,-0.3,1043,0,Construction,48375,TX
