Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Lavaca County,2017,Fourth Quarter,36,342,10.7,300,-0.7,Leisure and Hospitality,48285,TX
Lee County,2017,Fourth Quarter,32,364,-1.9,331,5.8,Leisure and Hospitality,48287,TX
Leon County,2017,Fourth Quarter,36,458,-4.2,368,10.2,Leisure and Hospitality,48289,TX
Liberty County,2017,Fourth Quarter,87,1459,-1.6,354,8.6,Leisure and Hospitality,48291,TX
Limestone County,2017,Fourth Quarter,43,436,3.3,270,-4.6,Leisure and Hospitality,48293,TX
Lipscomb County,2017,Fourth Quarter,3,,,,,Leisure and Hospitality,48295,TX
Live Oak County,2017,Fourth Quarter,44,411,8.2,293,3.9,Leisure and Hospitality,48297,TX
Llano County,2017,Fourth Quarter,49,1185,-3.7,578,6.1,Leisure and Hospitality,48299,TX
Loving County,2017,Fourth Quarter,2,,,,,Leisure and Hospitality,48301,TX
Lubbock County,2017,Fourth Quarter,758,18699,1.8,334,3.7,Leisure and Hospitality,48303,TX
Lynn County,2017,Fourth Quarter,10,44,91.3,1660,403,Leisure and Hospitality,48305,TX
McCulloch County,2017,Fourth Quarter,24,254,-15.1,302,2.4,Leisure and Hospitality,48307,TX
McLennan County,2017,Fourth Quarter,578,11651,1.6,320,4.6,Leisure and Hospitality,48309,TX
McMullen County,2017,Fourth Quarter,3,,,,,Leisure and Hospitality,48311,TX
Madison County,2017,Fourth Quarter,35,511,-8.4,267,3.9,Leisure and Hospitality,48313,TX
Marion County,2017,Fourth Quarter,23,324,-3.9,278,0.7,Leisure and Hospitality,48315,TX
Martin County,2017,Fourth Quarter,9,114,70.1,271,-17.6,Leisure and Hospitality,48317,TX
Mason County,2017,Fourth Quarter,17,121,-18.2,300,8.7,Leisure and Hospitality,48319,TX
Matagorda County,2017,Fourth Quarter,100,1138,2.6,331,6.8,Leisure and Hospitality,48321,TX
Maverick County,2017,Fourth Quarter,85,1508,-6.5,303,-7.6,Leisure and Hospitality,48323,TX
Medina County,2017,Fourth Quarter,79,1047,3.5,296,-23.5,Leisure and Hospitality,48325,TX
Menard County,2017,Fourth Quarter,6,31,-3.1,330,35.2,Leisure and Hospitality,48327,TX
Midland County,2017,Fourth Quarter,378,9480,6.2,418,5.3,Leisure and Hospitality,48329,TX
Milam County,2017,Fourth Quarter,43,406,-7.5,243,9,Leisure and Hospitality,48331,TX
Mills County,2017,Fourth Quarter,11,81,44.6,368,12.5,Leisure and Hospitality,48333,TX
Mitchell County,2017,Fourth Quarter,16,150,8.7,230,-4.6,Leisure and Hospitality,48335,TX
Montague County,2017,Fourth Quarter,35,374,3,303,3.1,Leisure and Hospitality,48337,TX
Montgomery County,2017,Fourth Quarter,936,23969,6.9,401,4.4,Leisure and Hospitality,48339,TX
Moore County,2017,Fourth Quarter,47,744,11.9,278,0.4,Leisure and Hospitality,48341,TX
Morris County,2017,Fourth Quarter,14,118,13.5,234,-2.1,Leisure and Hospitality,48343,TX
Motley County,2017,Fourth Quarter,5,16,-40.7,329,27,Leisure and Hospitality,48345,TX
Nacogdoches County,2017,Fourth Quarter,138,2980,0.6,287,4.4,Leisure and Hospitality,48347,TX
Navarro County,2017,Fourth Quarter,71,1283,8.3,300,-1.6,Leisure and Hospitality,48349,TX
Newton County,2017,Fourth Quarter,6,10,-9.1,349,-10.1,Leisure and Hospitality,48351,TX
Nolan County,2017,Fourth Quarter,45,853,2.5,315,9,Leisure and Hospitality,48353,TX
Nueces County,2017,Fourth Quarter,1000,20871,-0.7,370,3.9,Leisure and Hospitality,48355,TX
Ochiltree County,2017,Fourth Quarter,21,331,4.4,332,3.1,Leisure and Hospitality,48357,TX
Oldham County,2017,Fourth Quarter,9,44,4.8,212,-1.9,Leisure and Hospitality,48359,TX
Orange County,2017,Fourth Quarter,151,2370,-1.7,324,9.1,Leisure and Hospitality,48361,TX
Palo Pinto County,2017,Fourth Quarter,79,1079,5.2,327,5.1,Leisure and Hospitality,48363,TX
Panola County,2017,Fourth Quarter,35,448,21.1,262,0.8,Leisure and Hospitality,48365,TX
Parker County,2017,Fourth Quarter,225,3896,1.5,319,4.2,Leisure and Hospitality,48367,TX
Parmer County,2017,Fourth Quarter,9,76,5.6,271,-5.2,Leisure and Hospitality,48369,TX
Pecos County,2017,Fourth Quarter,56,744,7.4,345,12.4,Leisure and Hospitality,48371,TX
Polk County,2017,Fourth Quarter,75,1156,5,310,7.6,Leisure and Hospitality,48373,TX
Potter County,2017,Fourth Quarter,416,8464,0.8,329,1.9,Leisure and Hospitality,48375,TX
Presidio County,2017,Fourth Quarter,28,243,15.7,441,2.1,Leisure and Hospitality,48377,TX
Rains County,2017,Fourth Quarter,17,221,15.7,251,-2.3,Leisure and Hospitality,48379,TX
Randall County,2017,Fourth Quarter,203,4387,-2.3,310,4.4,Leisure and Hospitality,48381,TX
Reagan County,2017,Fourth Quarter,12,116,-4.1,347,15.3,Leisure and Hospitality,48383,TX
Real County,2017,Fourth Quarter,16,123,2.5,408,18.3,Leisure and Hospitality,48385,TX
Red River County,2017,Fourth Quarter,16,92,10.8,238,-2.1,Leisure and Hospitality,48387,TX
Reeves County,2017,Fourth Quarter,41,665,18.5,429,14.1,Leisure and Hospitality,48389,TX
Refugio County,2017,Fourth Quarter,16,229,-14.9,283,13.7,Leisure and Hospitality,48391,TX
Roberts County,2017,Fourth Quarter,1,,,,,Leisure and Hospitality,48393,TX
Robertson County,2017,Fourth Quarter,30,518,27.6,288,-0.3,Leisure and Hospitality,48395,TX
Rockwall County,2017,Fourth Quarter,196,4456,0.4,376,4.2,Leisure and Hospitality,48397,TX
Runnels County,2017,Fourth Quarter,21,143,12.6,268,15,Leisure and Hospitality,48399,TX
Rusk County,2017,Fourth Quarter,76,912,5.3,281,-1.7,Leisure and Hospitality,48401,TX
Sabine County,2017,Fourth Quarter,10,82,-2.4,286,5.5,Leisure and Hospitality,48403,TX
San Augustine County,2017,Fourth Quarter,7,34,-8.1,294,-3,Leisure and Hospitality,48405,TX
San Jacinto County,2017,Fourth Quarter,15,147,5,345,2.4,Leisure and Hospitality,48407,TX
San Patricio County,2017,Fourth Quarter,125,2183,-1.4,336,2.8,Leisure and Hospitality,48409,TX
San Saba County,2017,Fourth Quarter,15,95,-2.1,275,26.7,Leisure and Hospitality,48411,TX
Schleicher County,2017,Fourth Quarter,2,,,,,Leisure and Hospitality,48413,TX
Scurry County,2017,Fourth Quarter,51,519,-1.7,272,-10.5,Leisure and Hospitality,48415,TX
Shackelford County,2017,Fourth Quarter,9,78,13,287,4.4,Leisure and Hospitality,48417,TX
Shelby County,2017,Fourth Quarter,39,486,0.6,292,-1.4,Leisure and Hospitality,48419,TX
Sherman County,2017,Fourth Quarter,4,,,,,Leisure and Hospitality,48421,TX
Smith County,2017,Fourth Quarter,520,11212,1.3,328,1.5,Leisure and Hospitality,48423,TX
Somervell County,2017,Fourth Quarter,34,373,-7.9,450,6.6,Leisure and Hospitality,48425,TX
Starr County,2017,Fourth Quarter,59,819,-2.6,268,0.8,Leisure and Hospitality,48427,TX
Stephens County,2017,Fourth Quarter,21,186,8.8,264,-8,Leisure and Hospitality,48429,TX
Sterling County,2017,Fourth Quarter,5,38,,271,,Leisure and Hospitality,48431,TX
Stonewall County,2017,Fourth Quarter,6,34,6.3,157,-0.6,Leisure and Hospitality,48433,TX
Sutton County,2017,Fourth Quarter,15,135,-10,300,2.4,Leisure and Hospitality,48435,TX
Swisher County,2017,Fourth Quarter,14,140,-6,271,4.2,Leisure and Hospitality,48437,TX
Tarrant County,2017,Fourth Quarter,4278,104031,4,391,1.3,Leisure and Hospitality,48439,TX
Taylor County,2017,Fourth Quarter,360,7414,1.2,333,4.7,Leisure and Hospitality,48441,TX
Terrell County,2017,Fourth Quarter,5,,,,,Leisure and Hospitality,48443,TX
Terry County,2017,Fourth Quarter,23,312,21.4,261,11.1,Leisure and Hospitality,48445,TX
Throckmorton County,2017,Fourth Quarter,2,,,,,Leisure and Hospitality,48447,TX
Titus County,2017,Fourth Quarter,66,1272,8.8,288,-0.7,Leisure and Hospitality,48449,TX
Tom Green County,2017,Fourth Quarter,285,6047,5.7,316,-0.3,Leisure and Hospitality,48451,TX
